30620,016133,,,,,,,,,,,,,,,,,,,,,,
30716,009088,,,,,,,,,,,,,,,,,,,,,,
31347,014322,,,,,,,,,,,,,,4.33,,,,,,,,
32073,017998,,,,,,,,,,,,,,,,,,,,,,
32173,007968,,,,,,,,,,,,,,,,,,,,,,
32259,015292,,,,,,,,,,,,,,,,,,,,,,
32725,015491,,,,,,,,,,,,,,,,,,,,,,
32995,001796,,,,,,,,,,,,,,,,,,,,,,
34087,015923,,,,,,,,,,,,,,,,,,,,,,
35818,015882,,,,,,,,,,,,,,,,,,,,,,
35914,008372,,,,,,,,,,,,,,,,,,,,,,
36367,010443,,,,,,,,,,,,,,,,,,,,,,
36632,000050,,,,,,,,,,,,,,,,,,,,,,
36725,016943,,,,,,,,,,,,,,,,,,,,,,
37003,005415,,,,,,,,,,,,,,,,,,,,,,
37640,001142,,,,,,,,,,,,,,,,,,,,,,
38010,017039,,,,,,,,,,,,,,4.8,,,,,,,,
39292,015625,,,,,,,,,,,,,,,,,,,,,,
39745,015248,,,,,,,,,,,,,,,,,,,,,,
39930,014579,,,,,,,,,,,,,,,,,,,,,,
42012,017393,,,,,,,,,,,,,,,,,,,,,,
42554,014353,,,,,,,,,,,,,,,,,,,,,,
30745,017880,,,,,,,,,,,,,,,,,,,,,,
43196,010697,,,,,,,,,,,,,,,,,,,,,,
43287,004680,,,,,,,,,,,,,,,,,,,,,,
43745,007945,,,,,,,,,,,,,,,,,,,,,,
43931,016621,,,,,,,,,,,,,,4.94,,,,,,,,
31133,017943,,,,,,,,,,,,,,,,,,,,,,
30526,002570,4.67,,4,4.5,5,,,,4,,,,,,,,,,,,,
30527,006681,4.75,,4.5,4.75,5,5,4.75,,,,,,,,,,,,,,,
30528,017375,4.67,,4.5,4.67,4.78,4.56,4.78,,,,,,,,,,,,,,,
30529,016305,4.67,,4.83,4.5,4.83,,,,,,,4.83,,,,,,,,,,
30530,003973,,,,,,,,,,,,,,,,,,,,,,
30531,001775,3.75,3.69,3.5,4.06,3.94,,,,,,,,,,,,,,,,,
30532,002053,3.4,3.33,3.26,3.54,3.71,,,,,4.03,,,,,,,,,,,,
30533,008519,4.25,,3.88,3.86,4.67,,,,4.13,,,,,,,,,,,,,
30534,013749,4.08,4.28,3.97,3.89,4.12,,,,,4.2,,,,,,,,,,,,
30535,008310,,,,,,,,,,,,,,,,,,,,,,
30536,002095,5,4.75,4.67,4.75,4.4,,,,,,,,,,,,,,,,,
30537,017068,5,5,5,5,5,,,,,,,,,,,,,,,,,
30538,005212,,,,,,,,,,,,,,,,,,,,,,
30539,015001,4.2,4.14,3.87,4.13,4.44,,,,,4.4,,,,,,,,,,,,
30540,012668,4.5,,4.89,5,4.64,,,,,,,4.4,,,,,,,,,,
30541,010530,4.4,,4,4.2,4.6,,4.4,,,,,,,,,,,,,,,
30542,002322,3.29,3.18,3.32,3.47,3.63,,,,,3.33,,,,,,,,,,,,
30543,004961,,,,,,,,,,,,,,,,,,,,,,
30544,006972,,,,,,,,,,,,,,,4.92,,,,4.67,5,4.92,4.92
30545,008868,,,,,,,,,,,,,,,,,,,,,,
30546,006808,,,,,,,,,,,,,,,2.87,2.92,2.87,2.77,3.26,,,
30547,008518,3.56,3.89,3.63,3.33,3.67,,,,,,,,,,,,,,,,,
30548,009076,,,,,,,,,,,,,,,2.67,3.33,3,2.67,3,,,
30549,014536,4.67,,4.83,4.5,4.4,,,,4.5,,,,,,,,,,,,,
30550,001409,4,3.8,3.6,4,4.6,,,,,,,,,,,,,,,,,
30551,017199,,,,,,,,,,,,,,,,,,,,,,
30552,006859,,,,,,,,,,,,,,,4.88,4.88,4.88,4.14,4.38,,,
30553,017516,,,,,,,,,,,,,,,,,,,,,,
30554,006832,,,,,,,,,,,,,,,,,,,,,,
30555,009379,4.39,4.25,4.15,4.41,4.6,,,,,4.52,,,,,,,,,,,,
30556,011328,,,,,,,,,,,,,,,,,,,,,,
30557,013544,4.7,,4.4,4.4,4.78,4.5,4.6,,,,,,,,,,,,,,,
30558,008013,,,,,,,,,,,,,,,,,,,,,,
30559,016566,,,,,,,,,,,,,,,,,,,,,,
30560,012548,4.85,,5,4.79,4.89,,,,4.81,,,,,,,,,,,,,
30561,015677,4.79,,4.64,4.64,4.79,,4.79,,,,,,,,,,,,,,,
30562,008339,,,,,,,,,,,,,,,,,,,,,,
30563,012514,5,,5,5,5,5,5,,,,,,,,,,,,,,,
30564,016131,5,,4.83,4.5,4.83,,,,,,,,,,,,,,,,,
30565,016280,,,,,,,,,,,,,,,,,,,,,,
30566,008323,,,,,,,,,,,,,,,,,,,,,,
30567,015346,,,,,,,,,,,,,,4.25,,,,,,,,
30568,005392,,,,,,,,,,,,,,,,,,,,,,
30569,016503,3.88,,4,3.75,4.13,,,,3.75,,,,,,,,,,,,,
30570,000994,4.62,4.54,3.91,4.38,4.46,,,,,4.62,,,,,,,,,,,,
30571,016419,,,,,,,,,,,,,,4.31,,,,,,,,
30572,002363,4,4.28,4.47,3.79,4.12,,,,,,3.99,,,,,,,,,,,
30573,010878,,,,,,,,,,,,,,,,,,,,,,
30574,017327,,,,,,,,,,,,,,,,,,,,,,
30575,000008,,,,,,,,,,,,,,,,,,,,,,
30576,013121,4.16,,4,3.74,4.31,,4.17,,,,3.96,,,,,,,,,,,
30577,014738,,,,,,,,,,,,,,,,,,,,,,
30578,003247,4.83,,4.86,4.57,4.75,4.5,4.88,,,,,,,,,,,,,,,
30579,010831,4.67,,4.67,4.67,4.33,4.67,4.67,,,,,,,,,,,,,,,
30580,008377,,,,,,,,,,,,,,,,,,,,,,
30581,015620,,,,,,,,,,,,,,,,,,,,,,
30582,000736,4.5,4.5,4.5,4,4.5,,,,,,,,,,,,,,,,,
30583,015873,,,,,,,,,,,,,,,,,,,,,,
30584,000745,4.33,,4,4.67,4.33,,4.67,,,,,,,,,,,,,,,
